"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","品牌管理","删除品牌","0","0","2","0","0"
"","品牌管理","查询品牌","0","0","5","0","0"
"","商品管理","更新商品","0","0","4","0","0"
"","商品管理","查询商品","0","0","5","0","0"
"","商品管理","创建商品","0","0","5","0","0"
"","品牌管理","查询品牌列表","0","0","1","0","0"
"","品牌管理","更新品牌","0","0","3","0","0"
"","订单管理","查询订单列表","0","0","1","0","0"
"","商品管理","删除商品","0","0","2","0","0"
"","商品管理","查询商品列表","0","0","1","0","0"
"","","","0","0","1","0","0"
"","订单管理","查询订单","0","0","1","0","0"
"","品牌管理","创建品牌","0","0","4","0","0"
